ABAL
ABAL++
ABAP
ABC
ABCL/1
ABCL/c+
ABCL/R
ABCL/R2
Abel
ABSET (en)
ABSYS
ALI
Abundance
ACC (programming language) (en)
Accent
ActForex
Ace DASL
ACT-III
Ada
Adenine
Afnix
Agora (programming language) (en)
AIS Balise
Aikido
Alef
Algebraic Logic Functional programming language (en)
Algol 60
Algol 68
Algol W
Alice (programming language) (en)
Ambi
Amiga E (en)
AML
AMOS
AMPLE
Anubis
APDL
APL
AppleScript
Arc
Ariberion
Arobase (langage)
Assembleur
ASP.NET
ATS
AUPL
AutoHotkey
AutoIt
Averest
awk
axe parser
Axum
B
BASIC
BASICA
Basic Nspire
BlitzBasic
DarkBasic
FreeBasic
GW-Basic
Microsoft Small Basic
PowerBasic
PureBasic
QuickBasic
SmallBasic
TI-Basic
True Basic
Turbo Basic
Visual Basic
wxBasic
Bash
Batch file
bc
BCPL
BeanShell
Befunge
Bennu
Bertrand
BETA
Bigwig
Bistro
BitC
BLISS
BlitzBasic
Blueprint Visual Scripting[1]
Blue
Bon
Boo
Boomerang
Bosque
Bourne shell (sh)
BPEL
Brainfuck
BUGSYS
BuildProfessional"
C
C--
C++
C++14
C++17
C#
C/AL
Caché ObjectScript
Cameleon
Caml
Cat
Cayenne
Cecil
Cel
Cesil
Ceylon
CFML
Cg
Ch interpreter
Chapel
CHAIN
Charity
Chef
CHILL
CHIP-8
chomski
CHR
Chrome
ChucK
CICODE
CIL
Cilk
CL
Claire
Clarion
Clean
Clipper
CLIST
Clojure
CLU
CMS-2
COBOL
CobolScript
Cobra
CODE
CoffeeScript
Cola
ColdC
ColdFusion
COMAL
Common Lisp
COMPASS
Component Pascal
COMIT
Converge
Cool
Coq
Coral 66
Corn
CorVision
Cosmos-f
COWSEL
CpcdosC+ (CC+)
CPL
Crystal
C shell (csh)
CSP
Csound
CSS
CSS 3
Cubescript
Curl
Curry
Cyclone"
